Seccion,azul ,rojo ,naranja ,negro 
115,43,31,9,2
115,39,35,9,3
116,31,41,10,4
116,31,41,9,2
116,33,38,9,2
116,30,44,13,2
116,34,35,11,3
116,35,39,8,3
116,36,39,11,2
116,33,35,13,4
116,34,38,12,1
116,29,43,10,1
116,29,43,12,2
116,30,45,9,1
116,29,46,11,1
117,35,40,9,4
117,29,44,9,3
117,29,45,9,2
118,32,38,13,2
118,35,39,11,2
118,28,41,14,2
118,38,34,10,1
118,33,40,10,2
118,37,37,13,2
118,35,42,10,2
118,32,46,9,2
118,31,43,11,2
118,29,47,8,3
119,43,33,10,1
119,49,30,9,0
119,51,29,8,1
119,48,31,7,2
119,50,30,10,2
119,45,33,12,1
119,44,35,7,1
120,43,29,11,2
120,31,45,9,2
121,39,37,9,3
122,39,36,10,2
122,36,38,10,2
123,44,37,6,2
124,41,38,9,2
125,44,34,5,2
125,45,33,6,1
126,44,30,7,2
126,40,31,9,2
126,44,30,7,2
126,32,39,10,2
127,34,41,8,2
127,30,40,8,2
128,25,49,6,3
128,32,39,6,2
129,33,40,8,3
129,35,39,9,1
130,33,43,8,2
130,28,46,8,1
131,30,45,10,2
131,32,43,8,1
132,33,42,6,2
132,32,38,10,1
133,34,42,9,2
133,34,39,9,2
134,35,38,9,3
134,32,43,9,2
135,34,40,10,2
135,40,34,9,2
136,32,40,9,2
136,34,42,8,2
136,33,36,7,4
137,27,45,12,2
138,43,32,7,2
138,34,46,8,1
139,37,40,6,2
139,29,42,11,1
140,41,36,8,2
140,41,34,8,2
141,39,36,9,3
141,34,47,6,3
142,34,39,10,2
142,37,42,9,1
143,36,36,12,2
143,34,40,10,3
144,31,43,8,2
144,34,39,7,2
145,36,37,9,2
146,35,39,8,2
146,29,43,9,3
147,28,43,12,2
147,27,45,9,4
148,28,43,10,2
148,30,45,10,5
149,33,37,9,2
149,38,39,8,1
149,42,34,7,1
149,33,39,8,3
149,39,38,11,1
149,41,33,8,2
150,29,50,7,3
150,35,37,10,3
151,35,37,13,2
151,27,52,8,1
152,30,40,14,3
152,26,46,11,2
152,35,38,11,2
152,27,45,7,3
153,35,40,12,2
153,39,35,9,1
154,24,45,11,2
154,25,49,10,2
154,24,48,11,4
155,32,45,6,0
155,30,43,12,2
155,29,41,12,2
155,31,41,11,4
155,33,39,11,3
155,28,47,10,3
155,32,42,11,2
155,32,42,7,2
155,31,44,8,3
155,31,39,12,4
155,32,40,10,2
155,25,41,12,3
155,31,44,8,2
155,28,43,8,3
155,32,42,12,1
155,28,39,9,3
155,28,44,12,1
155,30,40,12,3
157,30,43,7,2
157,25,48,10,2
158,44,33,8,2
159,45,28,8,3
160,45,31,7,1
160,38,35,6,1
316,24,48,9,5
316,26,44,10,2
316,28,48,7,2
316,22,51,8,3
316,30,51,6,2
317,35,43,7,2
317,37,40,8,0
317,33,43,7,3
317,36,34,7,4
489,27,51,8,2
489,30,38,9,4
490,21,51,9,3
491,21,48,10,4
491,24,49,8,3
492,27,37,13,4
492,31,40,5,5
493,29,45,6,3
493,34,42,8,3
493,31,42,11,4
494,24,51,10,2
494,25,47,12,1
495,27,42,12,5
495,26,49,10,2
496,24,53,7,3
496,27,47,11,1
496,26,40,14,3
496,25,52,11,2
497,30,40,12,3
497,31,37,14,2
498,21,53,8,3
498,30,44,7,4
499,23,49,10,2
499,34,42,8,2
500,23,43,13,5
500,26,37,20,0
501,27,46,10,2
501,27,43,13,3
502,31,42,11,4
502,30,42,12,2
503,32,41,12,3
503,27,47,13,1
504,26,39,13,2
504,32,37,13,4
505,29,42,14,1
505,35,40,9,4
506,29,41,12,4
506,32,39,11,3
507,35,36,14,1
507,39,37,11,1
508,21,44,9,2
508,27,42,9,1
509,20,41,10,5
509,25,41,6,5
509,28,39,8,5
510,31,45,8,3
510,32,43,8,2
511,32,38,14,2
511,28,40,13,1
512,38,38,9,2
513,24,43,9,2
530,24,47,13,2
530,30,43,11,2
530,34,46,8,1
530,31,44,8,2
531,28,40,14,2
531,29,42,12,1
532,24,43,15,3
532,25,43,14,3
533,26,46,11,2
533,22,49,14,3
534,22,51,13,3
534,25,53,13,1
548,23,48,10,2
548,24,48,11,3
549,28,46,10,2
549,28,40,13,2
549,32,42,13,1
549,31,41,9,3
550,35,35,12,0
550,31,36,17,1
551,23,43,17,1
551,30,43,13,1
552,26,46,16,2
552,39,34,12,2
553,36,40,7,2
553,38,37,12,1
554,34,36,16,1
554,32,41,14,2
555,30,43,13,2
555,29,40,12,2
555,33,39,13,1
555,34,42,9,1
555,30,41,13,1
555,31,42,10,1
555,28,44,16,1
555,23,46,15,2
555,23,45,14,2
555,36,39,13,1
555,29,44,14,0
555,28,45,12,3
556,33,43,13,1
556,31,40,18,4
557,35,44,11,1
557,28,47,12,2
558,35,38,12,1
558,37,38,14,2
559,33,40,13,2
559,39,37,11,1
560,31,40,14,1
560,26,49,12,1
561,39,33,12,2
562,37,37,9,3
562,32,39,7,3
563,29,41,9,3
563,25,45,9,4
564,28,46,8,1
564,30,44,8,4
565,23,42,12,3
566,31,39,12,4
566,30,37,10,3
567,24,44,13,3
567,24,42,11,3
568,30,35,12,2
569,28,37,11,2
569,37,32,9,3
570,29,43,9,1
571,28,47,8,2
572,31,39,12,1
572,25,48,10,2
572,28,42,15,1
572,29,46,11,1
572,23,50,11,1
572,25,45,12,2
572,24,46,13,2
572,28,40,15,3
572,26,51,11,1
572,30,43,11,3
572,32,34,12,2
572,36,38,11,3
572,34,39,12,2
573,32,34,12,3
573,35,36,9,3
573,40,33,11,2
574,30,38,8,5
574,35,29,9,4
575,29,35,6,4
575,29,33,7,2
575,35,31,8,1
576,30,38,5,3
576,36,31,3,4
577,22,43,5,2
577,27,41,5,4
578,23,44,11,2
578,17,45,12,3
579,20,45,12,5
579,23,46,11,3
580,19,41,13,5
580,21,40,11,2
581,21,47,10,3
581,28,43,9,1
582,19,49,9,3
582,19,46,10,3
583,18,44,16,3
583,24,44,12,1
584,21,39,10,2
584,27,44,13,2
585,24,41,13,2
585,29,41,10,4
586,34,39,13,3
586,24,46,10,2
587,25,47,12,4
587,27,43,10,3
588,27,45,9,1
588,25,43,9,3
589,25,45,12,2
589,27,47,9,2
589,28,43,9,2
589,29,39,14,2
589,27,42,11,2
589,27,38,11,3
589,27,45,10,3
589,24,45,14,4
589,30,44,8,1
589,33,41,7,2
589,28,45,9,2
589,27,43,10,3
589,22,53,11,3
589,25,47,13,1
589,28,42,10,2
589,21,46,11,4
589,20,51,9,2
589,28,39,14,2
589,20,48,12,2
590,31,40,15,2
590,28,48,10,3
591,32,35,18,1
592,33,41,11,2
592,28,40,12,3
593,21,40,8,3
594,26,42,14,4
594,23,46,13,3
594,25,45,13,1
594,24,49,12,1
594,24,47,12,3
594,19,45,14,1
594,26,41,14,4
594,23,46,11,2
594,21,47,15,1
594,21,49,10,4
594,22,48,9,4
594,20,46,15,1
594,21,55,8,1
595,49,28,11,1
595,45,34,9,1
595,49,25,11,1
596,44,32,10,2
596,45,35,9,1
596,45,33,8,2
596,46,30,8,2
597,23,50,10,3
597,20,51,14,2
597,23,48,11,3
598,25,46,9,1
598,36,43,5,3
598,27,43,9,3
599,41,30,11,0
599,34,37,13,3
600,34,35,13,1
600,33,40,12,2
601,20,49,14,3
601,23,48,11,1
601,24,45,12,2
601,22,53,9,2
602,20,48,13,2
602,25,47,12,2
602,25,49,13,1
603,23,48,12,2
603,19,49,15,3
603,21,48,11,2
604,26,47,11,3
604,28,45,11,3
605,39,34,12,2
605,42,29,14,2
606,37,39,11,0
606,42,35,9,3
607,36,38,10,2
607,30,44,11,1
608,45,33,3,2
608,41,30,5,4
608,41,30,7,4
609,24,45,8,2
609,35,41,5,6
609,27,47,9,1
609,34,41,7,2
610,20,47,10,2
610,21,49,15,3
610,22,49,10,2
611,32,43,11,2
611,24,47,9,4
611,25,45,11,1
612,23,50,11,2
612,24,51,14,2
612,26,46,6,3
612,24,48,9,2
612,28,45,13,3
613,27,43,12,2
613,26,50,9,2
613,31,42,9,2
613,25,44,13,5
614,23,48,13,3
614,24,47,15,2
614,26,47,12,1
614,24,44,15,3
615,26,40,9,2
615,25,43,9,3
616,48,30,3,2
616,41,39,6,2
617,22,52,13,1
617,25,48,11,2
617,24,48,11,2
617,28,44,10,3
635,20,44,14,2
635,24,48,13,2
635,26,41,15,2
635,20,44,14,2
636,55,25,8,1
636,59,24,6,0
636,54,22,7,2
636,52,26,8,2
637,49,27,6,1
637,49,31,6,1
637,48,30,8,1
638,48,29,11,2
638,45,30,11,0
638,42,31,12,1
638,44,31,10,2
639,53,23,9,1
639,52,26,10,0
639,51,24,11,2
640,45,29,11,3
640,48,25,11,2
640,49,27,10,2
640,47,29,10,4
641,31,40,12,2
641,27,44,14,2
641,31,35,14,2
641,24,38,13,6
642,46,30,10,1
642,49,26,9,1
642,50,29,8,0
642,46,30,9,1
643,42,35,8,2
643,47,24,7,2
644,31,38,12,2
644,32,39,13,2
644,35,37,13,2
644,35,35,8,2
645,34,34,14,2
645,29,37,13,4
645,25,43,13,4
662,28,45,11,2
662,26,49,11,2
662,28,45,12,1
662,19,50,11,1
662,20,49,11,1
663,41,32,8,5
663,41,37,7,2
664,25,54,14,2
664,25,48,7,4
665,30,46,10,1
665,21,49,9,3
665,27,44,12,4
665,25,49,11,1
666,23,52,13,1
666,22,53,11,1
667,25,53,12,2
667,24,52,8,2
667,20,51,13,1
667,22,45,11,3
667,23,54,10,3
668,29,42,7,3
668,27,42,8,1
668,31,41,6,3
668,25,42,10,4
669,20,48,17,3
669,25,40,13,5
669,22,55,12,3
670,23,52,10,2
670,25,41,16,2
670,30,40,10,3
670,25,51,13,3
1,85,5,0,1
1,84,6,1,0
1,85,6,1,1
1,82,6,2,0
2,67,18,6,1
2,69,16,3,2
3,57,23,7,1
3,58,23,8,1
3,54,26,8,1
4,52,30,9,1
4,48,31,9,2
5,55,25,8,1
6,56,24,7,1
7,57,24,7,2
7,48,27,10,2
8,59,27,5,1
8,56,25,6,0
9,54,25,6,1
9,50,29,6,1
10,59,22,5,2
10,56,22,6,2
11,52,27,7,1
11,49,29,7,3
12,51,25,6,1
12,54,24,6,1
13,56,26,5,2
13,46,28,8,0
14,48,27,6,1
14,54,25,5,2
15,40,36,8,3
15,41,32,7,2
16,43,34,9,3
16,45,31,9,2
17,39,34,12,2
17,43,31,9,2
18,46,31,5,3
18,48,25,7,1
19,60,22,4,1
19,56,22,7,2
20,62,18,0,0
20,57,22,8,1
20,57,22,4,2
20,25,31,23,2
21,35,37,10,1
21,35,37,9,3
22,38,35,6,3
23,49,31,8,2
23,46,29,6,2
24,42,36,8,1
25,40,31,13,1
25,48,31,10,1
26,47,28,8,1
26,51,31,5,1
27,54,24,9,2
28,44,33,11,3
29,41,31,8,2
29,39,30,10,2
30,47,28,6,1
31,41,30,11,2
31,48,30,8,1
32,29,39,12,4
32,23,48,7,1
33,41,31,10,2
33,36,44,8,0
34,49,26,10,1
34,52,34,3,1
35,60,21,7,2
35,61,24,5,1
35,64,20,5,1
36,50,31,6,2
36,53,26,8,2
37,55,22,8,2
37,62,23,3,1
38,53,24,7,1
38,49,27,7,1
39,43,28,9,4
39,41,36,11,2
40,68,18,5,1
40,47,31,9,2
42,48,30,5,1
42,47,30,8,4
43,60,19,7,2
43,63,18,5,2
43,59,23,6,1
44,73,15,5,0
44,78,11,3,1
44,80,11,2,1
44,77,13,3,0
44,75,11,3,1
44,70,10,4,1
45,77,9,2,1
45,81,7,2,1
45,78,10,3,1
46,72,13,3,2
46,77,10,4,1
46,74,10,3,1
47,78,9,2,1
47,81,7,3,1
47,80,8,1,1
47,78,9,2,1
47,74,12,2,1
48,63,22,7,1
48,72,13,5,1
48,66,15,5,1
49,50,25,11,2
49,51,26,7,2
50,51,27,8,2
50,57,24,6,2
50,54,25,8,2
51,48,27,12,1
51,46,29,8,2
52,54,28,7,1
52,55,25,7,1
53,56,21,6,2
53,61,18,7,0
53,64,17,8,2
54,37,37,10,2
54,40,35,7,1
55,46,31,10,2
55,51,27,7,3
56,52,26,8,1
56,50,27,7,3
57,51,25,8,2
57,42,35,11,2
58,40,36,9,1
59,53,23,8,1
60,41,31,9,3
60,44,35,7,3
61,39,37,8,4
62,45,29,8,2
63,48,31,8,2
65,46,27,11,1
66,56,26,7,1
66,49,26,8,2
67,57,23,6,1
71,57,22,9,1
71,58,21,8,2
72,50,29,6,3
73,55,21,7,1
73,57,23,8,1
74,59,19,7,3
75,60,25,4,1
76,55,29,6,2
77,50,27,3,2
79,52,30,4,1
79,59,27,5,2
162,33,38,8,1
162,30,44,12,2
163,33,37,13,2
164,50,26,10,2
164,49,29,10,1
164,49,30,7,1
164,43,31,9,2
164,47,26,13,0
164,49,32,8,1
164,46,29,10,1
164,48,28,11,1
164,60,15,9,2
165,40,36,13,2
165,29,40,13,4
165,41,39,9,2
167,42,34,10,1
168,38,35,10,2
168,37,38,12,1
168,48,30,9,2
168,43,34,10,1
169,37,34,10,2
169,36,35,11,2
169,40,38,9,1
170,32,45,9,1
170,28,39,12,2
170,30,44,13,3
170,28,46,10,2
170,28,47,9,1
171,55,26,6,2
172,53,24,7,2
173,54,27,5,1
174,59,18,8,1
174,49,27,8,2
175,65,20,5,0
175,63,20,3,1
176,61,20,6,1
177,63,19,3,1
178,48,30,6,2
179,53,25,7,3
179,52,29,9,1
180,54,24,6,1
181,44,30,9,2
182,45,34,7,1
183,49,30,9,2
184,46,23,10,5
184,47,33,9,2
185,40,36,11,3
186,41,32,11,2
187,46,31,7,2
188,46,28,10,2
188,36,40,7,1
189,43,32,9,1
189,36,24,8,1
190,54,25,7,2
190,53,24,7,1
190,50,23,5,1
191,39,40,11,1
192,36,39,8,4
192,34,44,8,3
193,45,33,6,3
193,39,37,10,2
194,44,31,13,2
194,40,35,8,2
194,39,38,4,1
195,52,27,7,1
195,54,26,8,2
196,52,24,9,2
197,59,25,3,3
197,51,25,6,1
198,44,31,8,1
199,30,43,10,3
200,49,28,7,3
